Element	Symbol	Number	Weight	Melting_Point	Boiling_Point
Actinium	Ac	89	227.0278	1050.	3200. +/-300
Aluminum	Al	13	26.98154	660.37	2467.
Americium	Am	95	(243)	994. +/-4	2607.
Antimony	Sb	51	121.75	630.74	1950.
Argon	Ar	18	39.948	-189.2	-185.7
Arsenic	As	33	74.9216	817.	613.
Astatine	At	85	(210)	302. (est.)	337. (est.)
Barium	Ba	56	137.33	725.	1640.
Berkelium	Bk	97	(247)	unknown	unknown
Beryllium	Be	4	9.01218	1278. +/-5	2970.
Bismuth	Bi	83	208.9804	271.3	1560. +/-5
Boron	B	5	10.81	2079.	2550.
Bromine	Br	35	79.904	-7.2	58.78
Cadmium	Cd	48	112.41	320.9	765.
Calcium	Ca	20	40.08	839. +/-2	1484.
Californium	Cf	98	(251)	unknown	unknown
Carbon	C	6	12.011	3550.	4827.
Cerium	Ce	58	140.12	799.	3426.
Cesium	Cs	55	132.9054	28.40	669.3
Chlorine	Cl	17	35.453	-100.98	-34.6
Chromium	Cr	24	51.996	1857. +/-20	2672.
Cobalt	Co	27	58.9332	1495.	2870.
Copper	Cu	29	63.546	1083.4 +/-0.2	2567.
Curium	Cm	96	(247)	1340. +/-40	unknown
Dysprosium	Dy	66	162.50	1412.	2562.
Einsteinium	Es	99	(252)	unknown	unknown
Erbium	Er	68	167.26	1522.	2863.
Europium	Eu	63	151.96	822.	1597.
Fermium	Fm	100	(257)	unknown	unknown
Fluorine	F	9	18.998403	-219.62	-188.14
Francium	Fr	87	(223)	(27) (est.)	(677) (est.)
Gadolinium	Gd	64	157.25	1313. +/-1	3266.
Gallium	Ga	31	69.72	29.78	2403.
Germanium	Ge	32	72.59	937.4	2830.
Gold	Au	79	196.9665	1064.43	3080.
Hafnium	Hf	72	178.49	2227. +/-20	4602.
Hahnium	Ha	105	(262)	unknown	unknown
Hassium	Hs	108	(265)	unknown	unknown
Helium	He	2	4.00260	-272.2	-268.934
Holmium	Ho	67	164.9304	1474.	unknown
Hydrogen	H	1	1.00794	-259.14	-252.87
Indium	In	49	114.82	156.61	2080.
Iodine	I	53	126.9045	113.5	184.35
Iridium	Ir	77	192.22	2410.	4130.
Iron	Fe	26	55.847	1535.	2750.
Krypton	Kr	36	83.80	-156.6	-152.30 +/-0.10
Lanthanum	La	57	138.9055	921.	3457.
Lawrencium	Lw	103	(260)	unknown	unknown
Lead	Pb	82	207.2	327.502	1740.
Lithium	Li	3	6.941	180.54	1342.
Lutetium	Lu	71	174.967	1663.	3395.
Magnesium	Mg	12	24.305	648.8 +/-0.5	1090.
Manganese	Mn	25	54.9380	1244. +/-3	1962.
Meitnerium	Mt	109	(266)	unknown	unknown
Mendelevium	Md	101	(258)	unknown	unknown
Mercury	Hg	80	200.59	-38.842	356.58
Molybdenum	Mo	42	95.94	2617.	4612.
Neodymium	Nd	60	144.24	1021.	3068.
Neon	Ne	10	20.179	-248.67	-246.048
Neptunium	Np	93	237.0482	640. +/-1	3902. (est.)
Nickel	Ni	28	58.69	1453.	2732.
Nielsbohrium	Ns	107	(262)	unknown	unknown
Niobium	Nb	41	92.9064	2468. +/-10	4742.
Nitrogen	N	7	14.0067	-209.86	-195.8
Nobelium	No	102	(259)	unknown	unknown
Osmium	Os	76	190.2	3045. +/-30	5027. +/-100
Oxygen	O	8	15.9994	-218.4	-182.962
Palladium	Pd	46	106.42	1554.	2970.
Phosphorus	P	15	30.97376	44.1 (white)	280. (white)
Platinum	Pt	78	195.08	1772.	3827. +/-100
Plutonium	Pu	94	(244)	641.	3232.
Polonium	Po	84	(209)	254.	962.
Potassium	K	19	39.0983	63.25	760.
Praseodymium	Pr	59	140.9077	931.	3512.
Promethium	Pm	61	(145)	1168. +/-6	2460.
Protactinium	Pa	91	231.0359	1600.	unknown
Radium	Ra	88	226.0254	700.	1140.
Radon	Rn	86	(222)	-71.	-61.8
Rhenium	Re	75	186.207	3180.	5627. (est.)
Rhodium	Rh	45	102.9055	1966. +/-3	3727. +/-100
Rubidium	Rb	37	85.4678	38.89	686.
Rutherfordium	Rf	104	(261)	unknown	unknown
Ruthenium	Ru	44	101.07	2310.	3900.
Samarium	Sm	62	150.36	1072. +/-5	1791.
Scandium	Sc	21	44.9559	1541.	2831.
Seaborgium	Sg	106	(263)	unknown	unknown
Selenium	Se	34	78.96	217.	684.9 +/-1.0
Silicon	Si	14	28.0855	1410.	2355.
Silver	Ag	47	107.8682	961.93	2212.
Sodium	Na	11	22.98977	97.81+/-0.03	882.9
Strontium	Sr	38	87.62	269.	1384.
Sulfur	S	16	32.06	112.8	444.674
Tantalum	Ta	73	180.9479	2996.	5425. +/-100
Technetium	Tc	43	(98)	2172.	4877.
Tellurium	Te	52	127.60	449.5 +/-0.3	989.8 +/-3.8
Terbium	Tb	65	158.9254	1356.	3123.
Thallium	Tl	81	204.383	303.5	1457. +/-10
Thorium	Th	90	232.0381	1750.	4790.
Thulium	Tm	69	168.9342	1545. +/-15	1947.
Tin	Sn	50	118.69	231.9681	2270.
Titanium	Ti	22	47.88	1660. +/-10	3287.
Tungsten	W	74	183.85	3410. +/-20	5660.
Unnilhexium	Unh	106	(263)	unknown	unknown
Ununnilium	Uun	110	(269)	unknown	unknown
Uranium	U	92	238.0289	1132.3 +/-0.8	3818.
Vanadium	V	23	50.9415	1890. +/-10	3380.
Xenon	Xe	54	131.29	-111.9	-107.1 +/-3
Ytterbium	Yb	70	173.04	819.	1194.
Yttrium	Y	39	88.9059	1522. +/-8	3338.
Zinc	Zn	30	65.38	419.58	907.
Zirconium	Zr	40	91.22	1522. +/-8	4377.
